Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
MMM,"DJIA, S&P 500",58.27B,5.78B,34.23B,26.68,7.16,6.00,5.60%,92000,Yes,Yes,3.30,10.56,11.26,-,1.70,4.02,14.97,123.19,1.00,1.50,1.08,0.95,-3.27%,10.14,9.52,1.59,0.60%,10.11%,-0.23%,2.10%,1.60%,-6.20%,-57.60%,Jan 24 BMO,-8.16%,0.11%,-1.10%,68.10%,-1.02%,12.60%,40.20%,19.30%,43.80%,19.10%,16.90%,58.60%,-14.94%,551.90M,543.75M,2.42% / 3.90,13.13M,122.86,106.18 - 154.66,-30.64%,1.02%,37.01,0.63,3.37M,"1,108,265",-2.40%,-8.24%,-13.90%,-11.02%,-26.23%,-10.55%,0.96,2.58,2.11% 2.07%,107.16,107.27,0.10%
MNST,"NDX, S&P 500",53.93B,1.19B,6.31B,12.94,5.07,-,-,4092,Yes,Yes,2.20,46.14,29.25,1.80,8.55,7.97,20.35,94.29,3.40,4.20,0.00,0.00,1.02%,2.23,3.52,0.68,-2.40%,17.46%,25.68%,16.70%,12.70%,15.10%,-3.90%,Feb 28 AMC,1.56%,0.30%,-9.07%,69.00%,1.41%,15.10%,18.10%,20.90%,50.30%,25.80%,19.40%,0.00%,8.66%,526.80M,372.38M,0.95% / 1.78,3.53M,110.29,73.09 - 105.45,-1.53%,42.07%,54.89,0.41,1.98M,"423,083",1.65%,1.30%,2.37%,14.80%,43.25%,2.28%,0.85,1.88,2.12% 1.56%,103.12,103.84,0.70%
MO,S&P 500,83.44B,5.75B,25.10B,-2.22,2.26,3.76,8.03%,6300,Yes,Yes,2.70,14.68,8.82,3.16,3.32,-,20.70,57.46,0.70,0.80,-,-,0.76%,3.19,5.31,1.18,138.70%,5.07%,4.64%,-2.20%,-0.40%,-2.30%,69.50%,Feb 01 BMO,2.63%,0.10%,0.00%,59.60%,-1.44%,15.60%,-186.00%,45.30%,56.50%,47.50%,22.90%,115.40%,4.28%,1.79B,1.78B,0.89% / 2.10,15.80M,49.65,40.35 - 57.05,-16.96%,17.41%,56.17,0.59,7.52M,"2,311,545",1.97%,1.75%,2.52%,5.39%,-6.91%,3.64%,0.64,0.79,1.43% 1.46%,46.80,47.38,1.23%
MOH,S&P 500,15.58B,792.00M,31.97B,51.28,129.80,-,-,15000,Yes,Yes,2.50,19.90,11.63,1.12,0.49,5.26,2.08,22.85,1.50,1.50,0.81,0.81,-6.61%,13.54,23.17,5.18,20.40%,17.02%,17.83%,29.60%,10.00%,11.00%,-45.30%,Feb 08 AMC,-9.92%,0.80%,-46.79%,98.00%,-3.17%,6.30%,27.20%,16.80%,15.00%,3.70%,2.50%,0.00%,-14.56%,57.80M,57.75M,2.36% / 2.55,1.36M,357.53,249.78 - 374.00,-27.82%,8.07%,29.07,0.36,533.37K,"101,107",-2.84%,-10.84%,-19.57%,-22.01%,-12.52%,-18.25%,0.68,6.88,2.58% 2.44%,269.48,269.94,0.17%
MOS,S&P 500,18.24B,3.58B,19.13B,35.44,2.19,0.80,1.47%,13570,Yes,Yes,2.80,5.44,9.07,-,0.95,1.53,24.80,7.32,0.50,1.20,0.30,0.20,2.30%,9.99,5.99,1.46,135.50%,-16.75%,-,58.70%,20.90%,16.70%,-13.60%,Feb 22 AMC,8.71%,0.29%,0.00%,90.60%,-1.88%,15.20%,30.50%,22.70%,30.10%,25.00%,18.70%,5.60%,4.76%,340.10M,333.12M,2.56% / 2.08,8.54M,55.07,40.29 - 79.28,-32.73%,32.38%,55.63,0.79,4.10M,"1,683,319",-6.43%,6.56%,11.79%,0.40%,-8.34%,21.58%,1.53,1.76,3.54% 3.15%,54.34,53.33,-1.85%
MPC,S&P 500,55.32B,14.44B,178.89B,59.73,27.21,3.00,2.35%,17800,Yes,Yes,2.10,4.50,9.58,-,0.31,2.14,4.70,4.37,1.30,1.80,0.96,0.92,2.84%,28.44,13.35,5.27,-26.30%,-30.71%,-,49.30%,18.90%,12.70%,443.70%,Jan 31 BMO,5.59%,0.20%,-28.99%,79.50%,-7.91%,15.80%,55.60%,31.20%,15.20%,12.00%,8.10%,8.60%,21.07%,464.00M,445.39M,2.76% / 3.24,12.30M,144.86,73.18 - 136.46,-4.65%,77.81%,56.44,0.69,3.80M,"1,376,631",0.37%,6.45%,19.05%,32.31%,70.70%,11.79%,1.63,4.18,3.12% 2.94%,127.87,130.11,1.75%
MPWR,S&P 500,23.30B,437.70M,1.79B,35.52,15.99,4.00,0.79%,3247,Yes,Yes,1.90,55.78,32.37,3.96,12.99,14.21,31.58,466.94,3.70,5.40,0.00,0.00,2.82%,9.05,15.60,2.98,79.10%,18.33%,14.10%,27.50%,30.70%,36.70%,62.80%,Feb 08 AMC,16.52%,3.90%,-11.87%,-,4.74%,23.40%,29.40%,26.30%,58.40%,29.40%,24.40%,30.40%,22.86%,46.98M,45.64M,6.09% / 5.06,2.78M,552.55,301.69 - 541.39,-5.73%,69.17%,61.32,0.48,549.78K,"138,069",3.37%,9.14%,40.27%,19.47%,29.39%,44.33%,1.14,17.93,3.50% 3.74%,504.77,510.38,1.11%
MRK,"DJIA, S&P 500",275.21B,14.52B,59.28B,18.14,5.19,2.92,2.70%,69000,Yes,Yes,2.00,18.95,12.64,2.13,4.64,5.97,20.86,35.77,1.20,1.50,0.67,0.63,0.29%,5.71,8.57,1.30,17.40%,24.41%,8.89%,25.60%,8.10%,2.30%,-21.40%,Feb 02 BMO,-0.18%,0.10%,-54.86%,76.60%,0.64%,13.50%,33.30%,20.90%,71.00%,30.30%,24.50%,48.80%,11.17%,2.54B,2.53B,0.77% / 2.21,19.47M,118.39,77.05 - 115.49,-5.80%,41.19%,51.11,0.43,8.81M,"1,982,475",1.66%,2.94%,-0.13%,25.23%,41.37%,-1.95%,0.36,2.16,2.13% 1.82%,108.28,108.79,0.47%
MRNA,"NDX, S&P 500",52.84B,8.36B,19.26B,49.29,26.62,-,-,3900,Yes,Yes,2.40,7.12,-,-,2.74,2.88,5.34,11.54,2.50,2.70,0.06,0.05,-9.68%,19.96,-3.33,-1.55,-29.00%,-48.90%,-,92.10%,147.90%,-29.50%,-68.10%,Feb 23 BMO,-19.08%,2.40%,-22.12%,65.90%,0.92%,31.70%,46.30%,40.60%,71.90%,48.90%,43.40%,0.00%,-11.58%,388.00M,346.94M,4.23% / 2.92,14.67M,224.50,115.03 - 217.25,-35.82%,21.21%,31.78,0.36,5.02M,"933,413",1.14%,-18.49%,-19.66%,3.36%,7.85%,-22.38%,1.70,6.22,3.04% 3.77%,142.08,139.43,-1.87%
MRO,S&P 500,15.73B,3.61B,8.07B,17.89,0.54,0.40,1.58%,1570,Yes,Yes,2.30,4.89,5.77,0.20,1.95,1.42,47.09,4.19,0.70,0.70,0.52,0.49,-4.55%,5.19,4.40,0.79,338.00%,25.36%,23.93%,48.30%,11.40%,-3.00%,-1.40%,Feb 15 AMC,-6.53%,0.20%,-32.99%,79.30%,-5.72%,19.50%,31.80%,21.80%,91.50%,48.90%,44.70%,6.70%,-6.31%,637.00M,626.67M,2.89% / 1.75,18.11M,34.07,19.42 - 33.42,-25.46%,28.27%,40.15,0.86,10.35M,"4,643,904",-4.56%,-7.29%,-9.25%,-0.04%,3.40%,-7.98%,2.42,0.94,2.84% 3.34%,25.39,24.91,-1.89%
MS,S&P 500,157.61B,10.54B,65.94B,55.32,77.96,3.10,3.23%,82000,Yes,Yes,2.40,15.63,11.56,2.74,2.39,1.73,1.23,-,-,-,7.36,2.56,-4.13%,6.14,8.29,1.81,-23.40%,14.38%,5.71%,10.50%,8.60%,32.40%,-37.40%,Jan 17 BMO,-0.77%,0.20%,-16.61%,63.80%,-1.02%,0.90%,11.30%,1.50%,76.10%,21.40%,16.00%,47.50%,8.58%,1.65B,1.31B,1.37% / 2.55,17.94M,101.90,72.05 - 100.99,-6.97%,30.40%,38.34,0.76,7.05M,"2,781,891",-2.22%,-5.31%,7.36%,8.16%,12.77%,10.50%,1.35,1.82,1.75% 1.68%,95.90,93.95,-2.03%
MSCI,S&P 500,41.30B,870.60M,2.25B,-12.60,12.89,5.52,1.03%,4759,Yes,Yes,2.40,50.00,36.05,3.92,18.37,-,41.56,58.26,1.40,1.40,-,-,0.28%,10.72,14.86,3.07,23.30%,15.90%,12.74%,23.80%,12.00%,4.80%,15.20%,Jan 31 BMO,4.38%,0.10%,-15.16%,92.80%,-2.85%,18.00%,-87.30%,29.50%,82.00%,53.70%,38.70%,42.50%,15.06%,79.98M,77.50M,1.26% / 2.26,0.98M,562.27,376.41 - 572.50,-5.62%,43.54%,54.27,0.54,433.08K,"122,316",4.45%,-3.58%,8.08%,13.92%,15.95%,16.15%,1.15,13.51,2.28% 2.12%,535.85,540.31,0.83%
MSFT,"DJIA, NDX, S&P 500",1857.57B,67.45B,204.09B,24.58,13.59,2.72,1.07%,221000,Yes,Yes,1.90,28.20,23.61,2.40,9.10,10.32,18.67,45.69,1.90,1.90,0.35,0.32,-0.32%,8.99,10.75,2.23,19.80%,14.81%,11.77%,24.30%,15.50%,2.00%,-11.50%,Jan 24 AMC,3.63%,0.06%,-0.85%,72.40%,0.48%,18.80%,39.30%,31.30%,68.20%,40.50%,33.00%,28.10%,1.66%,7.45B,7.44B,0.49% / 1.16,36.52M,285.89,213.43 - 315.95,-18.74%,20.30%,53.52,0.70,31.38M,"11,519,209",2.25%,-4.04%,4.74%,-0.52%,-6.92%,7.06%,0.91,5.80,1.77% 2.06%,253.70,256.75,1.20%
MSI,S&P 500,44.25B,1.36B,9.11B,0.69,8.01,3.52,1.32%,20000,Yes,Yes,2.10,33.74,21.52,3.41,4.86,387.81,33.40,42.67,0.90,1.20,51.84,51.84,1.67%,7.93,12.43,2.05,10.60%,10.94%,9.89%,12.40%,7.40%,16.70%,48.80%,Feb 09 AMC,3.47%,0.10%,-70.54%,88.30%,0.36%,11.40%,-518.70%,24.60%,46.40%,18.20%,15.00%,38.80%,11.25%,167.50M,166.35M,0.68% / 1.79,1.13M,292.70,195.18 - 275.16,-1.77%,38.48%,61.03,0.55,628.34K,"179,863",2.55%,4.84%,1.54%,8.31%,26.22%,4.88%,0.93,4.39,1.26% 1.69%,267.59,270.28,1.01%
MTB,S&P 500,23.37B,1.89B,6.25B,136.08,165.39,5.20,3.70%,22210,Yes,Yes,2.30,12.79,7.64,0.98,3.74,1.03,0.85,6.54,-,-,0.17,0.17,-13.54%,10.98,18.38,4.26,-16.40%,2.75%,13.03%,4.50%,8.40%,116.20%,27.40%,Jan 19 BMO,-12.18%,0.10%,-0.96%,86.70%,-1.30%,1.00%,8.80%,17.20%,-,84.90%,30.30%,43.50%,-19.53%,171.27M,167.59M,1.33% / 1.67,2.23M,176.52,138.43 - 193.42,-30.65%,-3.10%,19.93,1.71,1.34M,"1,196,463",-11.35%,-16.21%,-16.34%,-26.62%,-20.22%,-7.53%,0.81,3.71,2.94% 2.01%,140.38,134.14,-4.44%
MTCH,S&P 500,10.65B,364.20M,3.19B,-1.29,2.08,-,-,2700,Yes,Yes,2.20,30.70,14.78,1.86,3.34,-,18.33,22.35,1.60,1.60,-,-,-11.44%,1.24,2.58,0.41,37.10%,21.45%,16.55%,-3.80%,19.10%,-2.50%,144.60%,Jan 31 AMC,-15.91%,0.40%,-0.68%,97.60%,-3.33%,8.40%,-88.60%,14.50%,69.90%,16.10%,11.40%,0.00%,-31.19%,279.39M,277.47M,3.29% / 2.01,9.12M,62.77,37.84 - 114.36,-66.72%,0.58%,27.64,0.75,4.55M,"1,782,902",-8.78%,-22.03%,-12.17%,-33.83%,-56.60%,-8.27%,1.08,1.70,3.83% 3.65%,38.07,38.06,-0.03%
MTD,S&P 500,32.31B,872.50M,3.92B,1.12,4.43,-,-,16400,Yes,Yes,2.60,38.74,30.40,3.15,8.24,1330.57,336.55,43.78,0.80,1.20,81.23,76.96,0.24%,38.46,49.02,8.60,17.20%,11.65%,12.30%,17.70%,7.50%,2.00%,19.30%,Feb 09 AMC,-0.68%,0.10%,-80.06%,96.40%,-0.84%,25.90%,-,42.80%,58.90%,27.30%,22.30%,0.00%,12.61%,22.21M,21.96M,1.48% / 3.42,0.32M,1553.45,1065.55 - 1609.25,-6.99%,40.47%,50.63,0.36,94.65K,"17,677",1.17%,-3.93%,2.95%,19.69%,13.64%,3.55%,1.17,36.45,2.56% 2.41%,1490.24,1496.74,0.44%
MU,"NDX, S&P 500",61.69B,6.19B,27.16B,45.23,9.76,0.46,0.81%,48000,Yes,Yes,2.30,10.32,35.76,-,2.27,1.26,5.83,134.12,2.20,3.50,0.21,0.20,-2.96%,5.51,1.59,-0.80,50.70%,185.00%,-,11.90%,8.60%,-46.90%,-108.80%,Mar 28 AMC,-1.88%,0.20%,-4.28%,82.40%,-1.30%,9.40%,12.60%,15.40%,41.30%,25.30%,22.80%,7.70%,-2.04%,1.09B,1.09B,1.66% / 1.25,18.04M,65.29,48.43 - 86.24,-34.15%,17.26%,44.23,0.54,14.40M,"4,064,568",0.64%,-8.59%,5.79%,3.25%,-26.40%,13.63%,1.41,1.86,3.06% 3.12%,56.89,56.79,-0.18%
NCLH,S&P 500,6.18B,-2269.90M,4.84B,0.16,2.34,-,-,38900,Yes,Yes,2.40,-,9.07,-,1.28,95.50,6.52,-,0.30,0.40,198.56,184.12,-11.16%,-5.42,1.69,-0.38,56.10%,85.57%,-,-29.60%,-2.10%,211.70%,71.50%,Feb 28 BMO,-4.46%,0.70%,-7.30%,58.80%,-1.32%,-12.00%,-315.50%,-12.70%,11.90%,-36.00%,-46.90%,-,2.19%,421.42M,419.66M,9.84% / 2.93,41.29M,17.64,10.31 - 23.43,-37.28%,42.53%,39.33,1.27,14.09M,"9,328,280",-5.50%,-15.93%,-7.17%,4.67%,-7.93%,20.06%,2.51,0.80,5.08% 4.54%,15.28,14.69,-3.83%
NDAQ,S&P 500,26.85B,1.13B,6.23B,12.52,1.40,0.80,1.45%,6377,Yes,Yes,2.50,24.37,18.87,4.41,4.31,4.40,39.32,22.93,1.00,1.00,0.88,0.77,-3.78%,2.26,2.92,0.65,-3.80%,8.19%,5.53%,12.40%,9.50%,7.80%,-4.70%,Jan 25 BMO,-7.56%,0.30%,-3.67%,77.70%,0.05%,5.20%,18.90%,10.50%,57.50%,25.10%,18.10%,34.10%,-6.36%,491.27M,340.98M,1.60% / 2.39,5.44M,64.24,46.77 - 69.22,-20.27%,18.00%,32.28,0.32,2.27M,"374,309",-1.45%,-7.94%,-17.64%,-11.58%,0.35%,-10.04%,0.98,1.01,1.51% 1.66%,55.13,55.19,0.11%
NDSN,S&P 500,12.50B,497.00M,2.59B,42.80,-,2.60,1.18%,7200,Yes,Yes,2.10,25.69,22.57,1.98,4.82,5.15,-,37.11,0.90,1.40,0.42,0.25,-3.07%,8.58,9.77,2.10,13.90%,8.31%,13.00%,11.60%,4.60%,0.20%,-11.60%,Feb 20 AMC,-5.59%,0.40%,-6.73%,75.50%,-0.81%,12.70%,21.80%,18.60%,54.60%,26.70%,19.20%,19.30%,-1.51%,57.17M,51.05M,2.30% / 4.10,1.17M,256.00,194.89 - 251.26,-11.50%,14.10%,42.48,0.33,286.02K,"48,724",0.66%,-9.41%,-4.81%,-4.28%,3.30%,-6.46%,0.93,5.25,1.66% 2.25%,220.38,222.36,0.90%
NEE,S&P 500,144.33B,4.15B,20.96B,19.73,0.82,1.87,2.52%,15300,Yes,Yes,1.90,35.53,22.07,3.48,6.89,3.76,90.15,30.79,0.40,0.50,1.66,1.41,1.36%,2.09,3.37,0.70,15.70%,8.69%,10.21%,2.50%,4.10%,22.20%,25.20%,Jan 25 BMO,-4.22%,0.20%,-0.41%,80.30%,0.99%,2.70%,11.00%,3.40%,-,19.50%,19.80%,81.00%,-7.12%,1.99B,1.98B,1.06% / 2.41,21.00M,94.45,67.22 - 91.35,-18.02%,11.41%,49.97,0.54,8.72M,"2,461,485",3.71%,-1.56%,-12.08%,-17.01%,-8.62%,-10.42%,0.46,1.63,2.16% 2.10%,74.25,74.89,0.86%
NEM,S&P 500,32.90B,-459.00M,11.91B,24.28,4.81,1.60,3.80%,14600,Yes,Yes,3.00,-,17.73,-,2.76,1.74,8.76,-,1.60,2.20,0.32,0.31,-6.72%,-0.57,2.38,0.42,-141.80%,15.38%,-,-20.00%,10.10%,-5.60%,-,Feb 23 BMO,-14.07%,0.10%,-10.08%,82.30%,-3.14%,-1.10%,-2.10%,-1.00%,45.70%,1.70%,-3.60%,-,-14.57%,797.00M,792.44M,1.15% / 1.30,9.09M,56.70,37.45 - 86.37,-51.26%,12.40%,28.72,0.53,6.97M,"1,934,013",-4.20%,-13.60%,-10.66%,-0.60%,-45.76%,-10.82%,0.33,1.27,2.12% 2.39%,42.16,42.10,-0.15%
NFLX,"NDX, S&P 500",137.40B,4.12B,31.62B,46.67,13.75,-,-,12800,Yes,Yes,2.30,34.12,21.53,2.14,4.35,6.68,22.68,84.89,1.20,1.20,0.69,0.69,-9.71%,9.14,14.48,2.85,-14.40%,26.68%,15.97%,44.90%,22.00%,1.90%,-189.80%,Jan 19 AMC,-9.31%,1.44%,-0.06%,80.30%,2.97%,9.60%,23.10%,12.80%,39.40%,17.80%,14.20%,0.00%,15.44%,445.20M,438.60M,1.99% / 1.06,8.71M,354.20,162.71 - 396.50,-23.87%,85.52%,31.77,0.67,8.24M,"2,875,995",-3.21%,-16.83%,-1.21%,31.84%,-11.67%,2.37%,1.27,10.39,2.40% 2.95%,311.79,301.86,-3.18%
NI,S&P 500,11.25B,749.00M,5.85B,14.72,0.10,1.00,3.61%,7117,Yes,Yes,1.80,16.33,16.43,2.44,1.92,1.88,275.71,12.84,0.40,0.60,1.88,1.58,2.72%,1.70,1.69,0.81,33.20%,8.15%,6.70%,14.10%,3.70%,21.00%,43.30%,Feb 22 BMO,2.06%,0.37%,0.00%,94.60%,-2.53%,3.00%,13.00%,6.30%,63.90%,21.60%,12.80%,51.10%,-0.20%,409.50M,404.59M,1.61% / 1.74,6.53M,30.91,23.78 - 32.58,-14.15%,17.64%,57.68,0.43,3.76M,"840,381",2.59%,2.74%,0.48%,-8.10%,-5.52%,2.02%,0.46,0.57,2.23% 2.08%,27.70,27.98,0.99%
NKE,"DJIA, S&P 500",183.76B,5.63B,49.11B,9.80,6.93,1.36,1.13%,79100,Yes,Yes,2.20,33.85,30.15,5.00,3.74,12.23,17.30,-,1.80,2.70,0.62,0.58,-1.12%,3.54,3.98,0.80,5.50%,26.50%,6.77%,8.40%,6.30%,17.20%,2.40%,Mar 21 AMC,-2.59%,0.20%,-0.82%,82.90%,-0.24%,14.10%,36.80%,24.60%,44.60%,13.00%,11.50%,34.00%,9.43%,1.56B,1.24B,0.96% / 1.70,11.89M,129.44,82.22 - 139.86,-14.09%,46.14%,45.18,0.71,6.98M,"2,597,424",0.49%,-4.13%,11.33%,10.77%,-0.87%,2.69%,1.11,2.44,1.61% 1.88%,119.86,120.16,0.25%
NOC,S&P 500,71.34B,4.90B,36.60B,99.62,16.81,6.92,1.49%,95000,Yes,Yes,2.40,14.77,19.01,4.92,1.95,4.67,27.68,172.32,1.00,1.10,0.84,0.77,-1.04%,31.50,24.47,5.17,-27.70%,10.87%,3.00%,11.90%,7.10%,16.10%,-21.50%,Jan 26 BMO,-2.72%,0.10%,-9.64%,85.20%,0.75%,11.50%,34.90%,9.40%,20.40%,9.80%,13.40%,21.40%,-5.10%,153.70M,151.81M,0.91% / 1.31,1.37M,520.56,416.23 - 556.27,-16.90%,11.05%,45.11,0.44,1.05M,"243,508",-1.29%,2.23%,-13.08%,-5.24%,2.90%,-15.28%,0.51,9.68,1.86% 1.89%,465.25,462.24,-0.65%
NOW,S&P 500,88.67B,325.00M,7.25B,24.83,21.57,-,-,20433,Yes,Yes,1.80,279.88,39.47,11.79,12.24,18.00,20.72,40.81,1.10,1.10,0.30,0.30,-0.66%,1.60,11.32,2.03,41.00%,23.27%,23.74%,34.10%,30.40%,20.20%,478.00%,Jan 25 AMC,2.76%,0.10%,-31.70%,90.80%,-0.19%,2.80%,7.30%,4.30%,78.30%,4.90%,4.50%,0.00%,2.72%,202.64M,200.49M,1.77% / 2.26,3.54M,519.57,337.00 - 601.62,-26.43%,31.34%,50.75,0.68,1.57M,"553,775",1.51%,-4.46%,13.74%,-0.35%,-14.59%,14.00%,1.04,12.58,2.16% 2.44%,446.97,442.62,-0.97%
NRG,S&P 500,7.59B,1.22B,31.54B,16.64,1.92,1.51,4.45%,6603,Yes,Yes,2.80,6.98,6.23,-,0.24,2.04,17.65,-,1.20,1.30,2.10,2.08,-1.02%,4.86,5.45,0.70,-42.00%,13.72%,-3.30%,27.80%,28.30%,11.50%,-173.20%,Feb 16 BMO,1.16%,0.90%,2.37%,-,-1.71%,3.90%,25.30%,13.30%,13.00%,6.40%,3.90%,28.80%,-12.83%,230.00M,228.25M,5.73% / 3.12,13.07M,37.71,30.64 - 47.82,-29.53%,9.99%,48.94,0.33,4.20M,"732,480",2.90%,-3.74%,-2.83%,-19.17%,-9.99%,5.91%,1.01,0.86,2.47% 2.54%,33.93,33.70,-0.68%
NSC,S&P 500,49.32B,3.27B,12.74B,55.36,2.00,5.40,2.50%,19300,Yes,Yes,2.60,15.58,14.49,1.95,3.87,3.91,108.15,44.55,0.70,0.80,1.19,1.14,-6.08%,13.88,14.93,3.21,14.50%,8.70%,7.98%,14.20%,3.90%,13.50%,9.40%,Jan 25 BMO,-10.95%,0.10%,-9.98%,76.80%,-1.31%,8.30%,25.00%,14.10%,50.10%,37.70%,25.60%,35.60%,-9.69%,230.00M,227.46M,0.96% / 1.45,2.18M,250.17,203.65 - 291.55,-26.21%,5.64%,30.02,0.79,1.50M,"622,874",-5.90%,-13.14%,-11.30%,-11.55%,-19.02%,-12.70%,1.30,5.62,2.21% 2.56%,216.31,215.13,-0.55%
NTAP,S&P 500,13.85B,1.29B,6.46B,5.10,14.71,2.00,3.08%,12000,Yes,Yes,2.60,11.20,11.52,1.49,2.14,12.72,4.41,23.96,1.30,1.30,2.17,2.17,-1.87%,5.79,5.63,1.35,26.70%,4.20%,7.53%,19.00%,2.80%,-5.50%,-73.00%,Feb 22 AMC,-0.20%,0.20%,-10.90%,91.40%,-1.86%,13.20%,135.60%,28.80%,65.40%,15.50%,19.90%,33.90%,-3.81%,216.00M,213.21M,2.82% / 3.38,6.01M,73.05,58.08 - 90.20,-28.17%,11.56%,45.60,0.28,1.78M,"262,929",-0.53%,-3.89%,2.72%,-8.35%,-17.90%,7.88%,1.18,1.45,2.16% 2.26%,64.86,64.79,-0.10%
NTRS,S&P 500,18.92B,1.28B,7.49B,49.78,22.84,3.00,3.23%,23600,Yes,Yes,2.90,15.12,12.29,3.42,2.53,1.87,4.06,12.50,-,-,13.38,0.46,-7.87%,6.14,7.55,1.54,-14.00%,9.02%,4.42%,5.50%,6.10%,22.20%,-62.80%,Jan 19 BMO,-7.32%,0.20%,-0.43%,85.10%,-0.07%,0.80%,12.40%,0.90%,90.30%,23.60%,17.10%,46.30%,-6.85%,208.42M,207.30M,1.56% / 3.20,3.23M,98.54,76.15 - 121.25,-27.55%,15.35%,32.12,1.72,1.01M,"907,358",-5.50%,-11.63%,-0.82%,-8.98%,-16.28%,-0.73%,1.10,2.34,2.28% 1.97%,92.84,87.84,-5.39%
NUE,S&P 500,43.81B,7.58B,41.51B,72.09,19.21,2.04,1.18%,31400,Yes,Yes,2.90,5.97,14.87,-,1.06,2.40,9.02,5.77,2.10,3.40,0.36,0.36,1.15%,29.05,11.66,3.94,24.30%,-13.36%,-7.50%,52.00%,15.40%,-15.80%,-38.60%,Jan 26 BMO,7.00%,0.20%,-11.90%,83.10%,-1.65%,24.30%,44.50%,32.80%,30.10%,25.10%,18.30%,6.90%,25.10%,255.43M,254.02M,2.39% / 3.33,6.06M,149.50,100.12 - 187.90,-9.29%,70.24%,54.34,0.61,1.82M,"581,718",-3.03%,1.96%,11.42%,25.69%,35.32%,29.31%,1.59,5.05,2.44% 2.81%,173.29,170.45,-1.64%
NVDA,"NDX, S&P 500",582.87B,4.37B,26.97B,8.97,5.52,0.16,0.07%,26196,Yes,Yes,2.10,138.89,41.22,6.55,21.61,26.96,43.84,170.93,2.70,3.50,0.50,0.44,5.93%,1.74,5.87,0.91,-54.70%,31.61%,21.20%,8.60%,22.70%,-20.80%,-51.60%,Feb 22 AMC,22.62%,0.40%,-5.61%,65.90%,-0.86%,10.30%,18.70%,13.30%,56.90%,15.70%,16.20%,9.10%,44.44%,2.46B,2.36B,1.47% / 0.71,34.65M,248.44,108.13 - 289.46,-17.16%,121.76%,62.41,1.07,48.48M,"27,086,318",2.85%,8.14%,49.99%,74.85%,11.46%,64.08%,1.75,9.31,3.58% 3.89%,241.81,239.79,-0.84%
NVR,S&P 500,17.24B,1.73B,10.58B,1093.16,781.05,-,-,6550,No,Yes,2.50,10.84,14.69,4.52,1.63,4.88,6.83,9.31,-,-,0.26,0.26,3.90%,492.33,363.32,88.96,53.40%,-2.31%,2.40%,28.30%,10.80%,22.50%,50.00%,Jan 31 BMO,6.51%,0.30%,-61.11%,86.00%,-2.15%,31.30%,56.10%,39.90%,27.60%,21.70%,16.30%,0.00%,19.80%,3.21M,3.00M,1.97% / 2.87,0.06M,5901.67,3576.01 - 5500.00,-2.70%,49.65%,65.82,0.86,20.62K,"9,250",2.57%,3.61%,16.34%,29.47%,15.12%,16.02%,0.98,112.59,1.70% 2.06%,5336.76,5351.46,0.28%
NWL,S&P 500,5.51B,197.00M,9.46B,8.47,0.70,0.92,6.84%,28000,Yes,Yes,2.50,28.50,9.83,38.25,0.58,1.59,19.20,-,0.60,1.30,1.53,1.35,-8.50%,0.47,1.37,-0.04,-67.50%,32.17%,0.74%,-21.60%,-0.20%,-10.70%,-67.50%,Feb 10 BMO,-10.00%,0.20%,-53.82%,94.80%,1.05%,1.40%,5.20%,5.50%,30.20%,4.70%,2.10%,194.10%,-19.17%,415.70M,411.41M,5.33% / 4.71,21.95M,16.09,12.24 - 24.70,-46.30%,8.33%,33.61,0.52,4.66M,"1,276,847",-7.82%,-13.92%,4.04%,-22.92%,-40.03%,1.41%,0.94,0.53,3.76% 3.92%,13.45,13.27,-1.38%
